COMPLAINT_TYPE,RESOLUTION,LATITUDE,LONGITUDE
Air Pollution Work Order,Alleged violation not found,41.70546319456,-87.54148545281
Air Pollution Work Order,Complaint Valid,41.8851233932,-87.72140285417
Noise Complaint,Complaint Invalid,41.90080164945,-87.62427246793
Air Pollution Work Order,Alleged violation not found,41.72089924687,-87.59489853683
Air Pollution Work Order,Resolved,41.68910571215,-87.60606911588
Air Pollution Work Order,Complaint Valid,41.91741704385,-87.78633270477
Air Pollution Work Order,Complaint Valid,41.7133232188,-87.55989405264
Toxics Hazardous Materials Work Order,Refer to StreetsSanitation,41.89439297653,-87.66552813465
Construction and Demolition,Resolved,41.89093303409,-87.66084954079
Air Pollution Work Order,Alleged violation not found,41.7973571628,-87.71484367959
Air Pollution Work Order,Complaint Valid,41.71324291275,-87.55803846898
Air Pollution Work Order,Alleged violation not found,41.71324291275,-87.55803846898
Air Pollution Work Order,Resolved,41.92336890636,-87.70310059534
Air Pollution Work Order,Resolved,41.70456671883,-87.61627806108
Air Pollution Work Order,Alleged violation not found,41.72357833559,-87.66811331147
Air Pollution Work Order,Complaint Valid,41.93862142586,-87.77129878085
Noise Complaint,NA,41.92204703001,-87.64060485066
Service Stations/Storage Tanks Work Order,Alleged violation not found,41.9854383617,-87.66933050633
Air Pollution Work Order,Resolved,41.78513201211,-87.7976034909
Air Pollution Work Order,NA,41.8955683487,-87.62825186147
Construction and Demolition,Resolved,41.77791959947,-87.60479224252
Air Pollution Work Order,Resolved,41.73565986116,-87.61788161297
Air Pollution Work Order,Alleged violation not found,41.73876640605,-87.60230571712
Noise Complaint,Resolved,41.8967175756,-87.62834729022
Noise Complaint,Alleged violation not found,41.91949560549,-87.6759734031
Air Pollution Work Order,Alleged violation not found,41.8851233932,-87.72140285417
Illegal Dumping Work Order,Resolved,41.88919802177,-87.63415729668
Construction and Demolition,Alleged violation not found,41.9932636609,-87.675827555
Illegal Dumping Work Order,Alleged violation not found,41.9514710812,-87.80828546403
Construction and Demolition,Alleged violation not found,41.79454342756,-87.7792872065
Air Pollution Work Order,Resolved,41.7601550205,-87.73270924858
Construction and Demolition,Resolved,41.88535370398,-87.62641328541
Illegal Dumping Work Order,Complaint Valid,41.91028618686,-87.6821512899
Toxics Hazardous Materials Work Order,Alleged violation not found,41.97323843715,-87.65238327453
Other,NA,41.85825324115,-87.63202359741
Noise Complaint,Alleged violation not found,41.95727110516,-87.69230933645
Air Pollution Work Order,Refer to StreetsSanitation,41.8377411895,-87.6607006665
Air Pollution Work Order,Resolved,41.99303424742,-87.67471345177
Illegal Dumping Work Order,Complaint Valid,41.77081876914,-87.61685891816
Illegal Dumping Work Order,Refer to StreetsSanitation,41.97200312489,-87.69104586256
Illegal Dumping Work Order,Resolved,41.94343394275,-87.670129618
Air Pollution Work Order,Alleged violation not found,41.85825324115,-87.63202359741
Air Pollution Work Order,Resolved,41.88195488707,-87.7429975836
Permits Issued by DOE Work Order,NA,41.67969774407,-87.64779295899
Illegal Dumping Work Order,Alleged violation not found,41.96081507529,-87.64695667778
Noise Complaint,Resolved,41.9208084786,-87.63742463184
Noise Complaint,Alleged violation not found,41.89555189001,-87.6343206068
Air Pollution Work Order,Resolved,41.96893838887,-87.65793164806
Illegal Dumping Work Order,Alleged violation not found,41.96025350525,-87.66936554226
Illegal Dumping Work Order,NA,41.85825324115,-87.63202359741
Noise Complaint,Alleged violation not found,41.77609390598,-87.70484105676
Noise Complaint,Alleged violation not found,41.89930346142,-87.7239105838
Air Pollution Work Order,Alleged violation not found,42.01094477589,-87.7852119859
Air Pollution Work Order,Complaint Valid,41.71324291275,-87.55803846898
Construction and Demolition,Complaint Valid,41.89661997489,-87.69563961911
Noise Complaint,Alleged violation not found,41.97187191151,-87.71925803656
Air Pollution Work Order,Alleged violation not found,41.87800606263,-87.63402203217
Construction and Demolition,Resolved,41.89829716714,-87.69349197519
Construction and Demolition,Resolved,41.91780007936,-87.77557364424
Construction and Demolition,Resolved,41.91780007936,-87.77557364424
Noise Complaint,Resolved,41.88319598701,-87.65075879008
Illegal Dumping Work Order,NA,41.93339726248,-87.7468156851
Noise Complaint,Resolved,41.96737637471,-87.65488213481
Air Pollution Work Order,Complaint Valid,41.96125236674,-87.7732335606
Air Pollution Work Order,Alleged violation not found,41.89328619265,-87.67677954577
Construction and Demolition,Alleged violation not found,41.89951494477,-87.63564562269
Construction and Demolition,Alleged violation not found,41.93426287379,-87.71331197518
Construction and Demolition,Complaint Valid,41.94812410525,-87.81061081087
Construction and Demolition,Alleged violation not found,41.93131172679,-87.75484416577
Air Pollution Work Order,Alleged violation not found,41.85806046994,-87.71259714892
Noise Complaint,Resolved,41.96737637471,-87.65488213481
Noise Complaint,Resolved,41.91435899935,-87.67159585768
Noise Complaint,NA,41.79152896751,-87.72169768837
Air Pollution Work Order,Complaint Valid,41.95992914038,-87.74671934658
Construction and Demolition,Resolved,41.97292662476,-87.68769402077
Noise Complaint,Resolved,41.91125996781,-87.63598750991
Air Pollution Work Order,Complaint Valid,41.99243483927,-87.657711816649993
Illegal Dumping Work Order,Resolved,41.89829552136,-87.69372151443
Construction and Demolition,Resolved,41.8946027055,-87.64049614903
Air Pollution Work Order,Resolved,41.70263410314,-87.53764359705
Air Pollution Work Order,NA,41.89411149269,-87.75223944952
Air Pollution Work Order,Refer to other Depts,41.85874630304,-87.67132303361
Noise Complaint,Resolved,41.89674017821,-87.63161411294
Asbestos Work Order,Resolved,41.79756687278,-87.6925395718
Air Pollution Work Order,Resolved,41.87937144104,-87.66878715166
Air Pollution Work Order,Resolved,41.78251260189,-87.69972668376
Air Pollution Work Order,Resolved,41.89545982299,-87.74812317061
Noise Complaint,Resolved,41.96737637471,-87.65488213481
Air Pollution Work Order,Resolved,41.78369397857,-87.61195731945
Air Pollution Work Order,Refer to other Depts,41.85874630304,-87.67132303361
Air Pollution Work Order,Resolved,41.67538462666,-87.57553071866
Noise Complaint,NA,41.97162746754,-87.65754338976
Air Pollution Work Order,NA,41.93667592005,-87.64113816237
Air Pollution Work Order,Resolved,41.92833244231,-87.70019529747
Construction and Demolition,Resolved,41.91780007936,-87.77557364424
Air Pollution Work Order,Resolved,41.78531173085,-87.71213752029
Noise Complaint,Complaint Valid,41.94799244643,-87.82933189758
