VIOLATION_TYPE,DISPOSITION,FINE_AMOUNT,LATITUDE,LONGITUDE
11-4-1150,NA,NA,41.93687554704504,-87.64444128310855
11-4-2170(b) Full Description: Full Description: Demolition and renovation safeguards to minimize airborne dust,LIABPLEA,5000,41.79641071969964,-87.62427739319415
13-32-125(2)(b) Full Description: Full Description: Construction site cleanliness - chain link fence,LIABPLEA,500,41.94705637337445,-87.65796549962256
13-32-125(2)(c) Full Description: Full Description: Construction site cleanliness - fabric mesh,LIABPLEA,500,41.94705637337445,-87.65796549962256
11-4-760,LIABPLEA,1000,41.96890357520102,-87.6762826511204
11-4-660(a) Full Description: Certificate of operation - Required.,LIABPLEA,250,41.95317933384186,-87.77569070694116
11-4-765(2)(b) Full Description: Construction site cleanliness.,LIABPLEA,800,41.95222598753037,-87.7017093524927
11-4-765(2)(c) Full Description: Construction site cleanliness.,NONSUIT,0,41.95222598753037,-87.7017093524927
4-108-350(A)(2) Full Description: Spill or overfill containment and cleanup requirement.,LIABPLEA,750,41.828887986684606,-87.69463748675246
15-24-1230,NA,NA,41.893485954695734,-87.72127914528569
"11-4-2190(g)(3) Full Description: Sandblasting, grinding and chemical washing of buildings, facilities or other structures; permit and notification requirements; performance standards for lead paint abatement; and disposal of debris.",NOTLIAB,0,41.934784933897525,-87.67804964857234
"11-4-2190(a) Full Description: Sandblasting, grinding and chemical washing of buildings, facilities or other structures; permit and notification requirements; performance standards for lead paint abatement; and disposal of debris.",LIABCONT,2000,41.934784933897525,-87.67804964857234
11-4-2170(f)(1) Full Description: Demolition and renovations; permit and notification requirements; performance standards for asbestos abatement; control and disposal of dust and debris.,LIABPLEA,5250,41.95106520855843,-87.74710290506961
"11-4-2190(g)(1) Full Description: Sandblasting, grinding and chemical washing of buildings, facilities or other structures; permit and notification requirements; performance standards for lead paint abatement; and disposal of debris.",NOTLIAB,0,41.934784933897525,-87.67804964857234
"11-4-620(a)(1) Full Description: Permitting of facilities, devices, or processes for control of air pollution.",LIABLE,350,41.89385323500681,-87.70389554216008
8-32-090(a) Full Description: Mechanical stationary sources.,LIABPLEA,1250,41.895375850474665,-87.63136270867454
11-4-728 Full Description: Motor vehicle repair shops.,LIABPLEA,1000,41.90726477928915,-87.74372202346711
11-4-1500(b)(1) Full Description: Treatment and disposal of solid or liquid waste.,LIABPLEA,5000,41.67327624376548,-87.57519945887555
4-108-350(A)(2) Full Description: Spill or overfill containment and cleanup requirement.,LIABPLEA,800,41.94657905619319,-87.72018625904586
4-108-350(A)(2) Full Description: Spill or overfill containment and cleanup requirement.,LIABLE,750,41.93885244077729,-87.73698057195097
4-108-350(A)(2) Full Description: Spill or overfill containment and cleanup requirement.,LIABPLEA,750,41.93886570309361,-87.72325921471953
7-28-440(a) Full Description: Dumping on real estate without permit - Nuisance - Violation - Penalty - Recovery of costs.,NA,0,41.67327624376548,-87.57519945887555
4-108-350(A)(2) Full Description: Spill or overfill containment and cleanup requirement.,LIABPLEA,850,41.94207351676522,-87.71273582395213
7-28-440(a) Full Description: Dumping on real estate without permit - Nuisance - Violation - Penalty - Recovery of costs.,NONSUIT,0,41.67327624376548,-87.57519945887555
11-4-1500(b)(1) Full Description: Treatment and disposal of solid or liquid waste.,NA,0,41.67327624376548,-87.57519945887555
11-4-2170(f)(1) Full Description: Demolition and renovations; permit and notification requirements; performance standards for asbestos abatement; control and disposal of dust and debris.,LIABPLEA,2000,41.93311227654427,-87.67606519921391
11-4-2170(f) Full Description: Full Description: Rescheduling of demolition starting dates,LIABPLEA,2000,41.96030414254293,-87.67759846154175
11-4-765(2)(f) Full Description: Construction site cleanliness.,LIABPLEA,750,41.902778670094726,-87.66580347234606
4-108-355(B) Full Description: Semiannual surficial cleansing.,DEFAULT,750,41.96076719873542,-87.76710408243011
11-4-660(a) Full Description: Certificate of operation - Required.,LIABPLEA,250,41.93147211512627,-87.75937996691255
11-4-765(2)(b) Full Description: Construction site cleanliness.,LIABPLEA,750,41.902778670094726,-87.66580347234606
11-4-765(2)(a) Full Description: Construction site cleanliness.,LIABPLEA,750,41.902778670094726,-87.66580347234606
11-4-1040(2)(g) Full Description: Prohibited wastes.,LIABPLEA,750,41.902778670094726,-87.66580347234606
13-32-125(2)(c) Full Description: Full Description: Construction site cleanliness - fabric mesh,LIABPLEA,500,41.96030414254293,-87.67759846154175
11-4-660(a) Full Description: Certificate of operation - Required.,DEFAULT,250,41.944388482983946,-87.74292214036232
11-4-1585(a) Full Description: Person responsible for waste removal.,DEFAULT,5000,41.84645704734817,-87.68677799100372
11-4-765(2)(k) Full Description: Construction site cleanliness.,DEFAULT,1000,41.89902734704269,-87.7023144763276
11-4-660(a) Full Description: Certificate of operation - Required.,DEFAULT,250,41.968370650498315,-87.70526125023652
4-108-350(A)(2) Full Description: Spill or overfill containment and cleanup requirement.,DEFAULT,1000,41.86829015334608,-87.64170968780712
11-4-765(2)(c) Full Description: Construction site cleanliness.,DEFAULT,1000,41.83280168945065,-87.65573305240606
4-108-355(B) Full Description: Semiannual surficial cleansing.,DEFAULT,1000,41.87775720375397,-87.65203741759878
4-108-350(A)(2) Full Description: Spill or overfill containment and cleanup requirement.,DEFAULT,1000,41.830402822601805,-87.69495246786789
4-108-350(A)(2) Full Description: Spill or overfill containment and cleanup requirement.,DEFAULT,1000,41.86613976581809,-87.73516525679419
11-4-660(a) Full Description: Certificate of operation - Required.,DEFAULT,250,41.93928851554984,-87.69676159210516
11-4-660(a) Full Description: Certificate of operation - Required.,DEFAULT,250,41.773427543346465,-87.62499857320714
4-108-350(A)(2) Full Description: Spill or overfill containment and cleanup requirement.,DEFAULT,1000,41.92431479659847,-87.74888394459468
4-108-350(A)(2) Full Description: Spill or overfill containment and cleanup requirement.,LIABLE,750,41.93935582051329,-87.68720580962443
11-4-2170(f)(1) Full Description: Demolition and renovations; permit and notification requirements; performance standards for asbestos abatement; control and disposal of dust and debris.,LIABPLEA,2000,41.95552187091571,-87.78649891691484
11-4-765(2)(k) Full Description: Construction site cleanliness.,NONSUIT,0,41.65805856446953,-87.63447806543587
11-4-765(2)(b) Full Description: Construction site cleanliness.,LIABPLEA,1000,41.85055198367069,-87.73136615951131
11-4-765(2)(c) Full Description: Construction site cleanliness.,NONSUIT,0,41.9283316513243,-87.71967671114187
11-4-765(2)(b) Full Description: Construction site cleanliness.,LIABPLEA,2000,41.9283316513243,-87.71967671114187
11-4-660(a) Full Description: Certificate of operation - Required.,DEFAULT,250,41.98170454711314,-87.65894709018245
11-4-660(a) Full Description: Certificate of operation - Required.,LIABPLEA,250,41.9142997832629,-87.74798666588555
11-4-660(c) Full Description: Certificate of operation - Required.,NONSUIT,0,41.76843204992003,-87.68408262786184
11-4-2170(a) Full Description: Demolition and renovations; permit and notification requirements; performance standards for asbestos abatement; control and disposal of dust and debris.,LIABPLEA,1000,41.9283316513243,-87.71967671114187
11-4-728 Full Description: Motor vehicle repair shops.,LIABPLEA,2000,41.9142997832629,-87.74798666588555
11-4-765(2)(c) Full Description: Construction site cleanliness.,LIABPLEA,800,41.833859614185094,-87.6764579508237
11-4-765(2)(c) Full Description: Construction site cleanliness.,NOTLIAB,0,41.85055198367069,-87.73136615951131
11-4-660(c) Full Description: Certificate of operation - Required.,DEFAULT,500,41.98170454711314,-87.65894709018245
11-4-660(a) Full Description: Certificate of operation - Required.,LIABPLEA,400,41.76843204992003,-87.68408262786184
11-4-765(2)(b) Full Description: Construction site cleanliness.,NONSUIT,0,41.65805856446953,-87.63447806543587
7-28-060 Full Description: Conditions detrimental to health - Public nuisance - Violation - Penalty.,NONSUIT,0,41.77524840868115,-87.5901486873247
11-4-660(a) Full Description: Certificate of operation - Required.,LIABPLEA,1000,41.970863279757474,-87.68912737049412
11-4-660 Full Description: Full Description: Owner of process equipment must provide instructions on proper operation,LIABPLEA,1000,41.73907360028472,-87.568096021791
11-4-728 Full Description: Motor vehicle repair shops.,LIABCONT,1250,41.92411012183083,-87.76454409396317
11-4-765(2)(k) Full Description: Construction site cleanliness.,NA,0,41.96431445177635,-87.68649208998718
11-4-760(b) Full Description: Handling and storage of material susceptible to becoming windborne.,NOTLIAB,0,41.92411012183083,-87.76454409396317
11-4-765(2)(k) Full Description: Construction site cleanliness.,LIABPLEA,750,41.96431445177635,-87.68649208998718
11-4-760(a) Full Description: Handling and storage of material susceptible to becoming windborne.,LIABPLEA,1000,41.91041623307859,-87.6992347787497
11-4-765(2)(b) Full Description: Construction site cleanliness.,LIABPLEA,1000,41.97175236598552,-87.74315712383206
11-4-765(2)(c) Full Description: Construction site cleanliness.,NONSUIT,0,41.97175236598552,-87.74315712383206
11-4-765(2)(g) Full Description: Construction site cleanliness.,LIABLE,750,41.96533936814992,-87.65347905700477
11-4-765(2)(k) Full Description: Construction site cleanliness.,LIABPLEA,750,41.99380079646961,-87.73125117956636
11-4-760(a) Full Description: Handling and storage of material susceptible to becoming windborne.,LIABPLEA,1000,41.93904800542383,-87.73872620645535
11-4-765(2)(k) Full Description: Construction site cleanliness.,LIABPLEA,750,41.91041623307859,-87.6992347787497
4-108-350(A)(2) Full Description: Spill or overfill containment and cleanup requirement.,LIABPLEA,750,41.924696904232945,-87.69747184229614
11-4-660(a) Full Description: Certificate of operation - Required.,NA,NA,41.7361451282369,-87.62691784397349
7-28-080 Full Description: Nuisance in connection with business.,LIABPLEA,300,41.92019977498754,-87.64258213736876
13-32-125(2)(b) Full Description: Full Description: Construction site cleanliness - chain link fence,NONSUIT,0,41.92019977498754,-87.64258213736876
11-5-023,NA,0,41.6914834134577,-87.71321050333633
11-4-765(2)(c) Full Description: Construction site cleanliness.,NONSUIT,0,41.92327891047086,-87.68663870201722
11-4-2170(f)(2) Full Description: Demolition and renovations; permit and notification requirements; performance standards for asbestos abatement; control and disposal of dust and debris.,LIABCONT,2000,41.95776965601888,-87.69009139188078
11-4-2170(f)(3) Full Description: Demolition and renovations; permit and notification requirements; performance standards for asbestos abatement; control and disposal of dust and debris.,LIABPLEA,5000,41.70167969698118,-87.62827980376798
11-4-765(2)(k) Full Description: Construction site cleanliness.,LIABPLEA,750,41.70167969698118,-87.62827980376798
11-4-740 Full Description: Open fires prohibited.,LIABPLEA,1500,41.864907807724215,-87.66648483359934
11-4-765(2)(b) Full Description: Construction site cleanliness.,LIABPLEA,750,41.864907807724215,-87.66648483359934
7-28-720 Full Description: Accumulation of materials or junk.,LIABPLEA,1500,41.92327891047086,-87.68663870201722
11-4-1585(a) Full Description: Person responsible for waste removal.,LIABPLEA,1000,42.00509631028344,-87.67386886352767
11-4-765(2)(c) Full Description: Construction site cleanliness.,LIABPLEA,750,41.864907807724215,-87.66648483359934
4-108-355(B) Full Description: Semiannual surficial cleansing.,LIABLE,750,41.8938974141881,-87.66707935455437
11-4-760(a) Full Description: Handling and storage of material susceptible to becoming windborne.,LIABPLEA,1600,41.864907807724215,-87.66648483359934
4-108-350(A)(2) Full Description: Spill or overfill containment and cleanup requirement.,LIABLE,750,41.91362432073231,-87.74552820790232
11-4-765(2)(c) Full Description: Construction site cleanliness.,NONSUIT,0,41.70167969698118,-87.62827980376798
11-4-760(a) Full Description: Handling and storage of material susceptible to becoming windborne.,LIABPLEA,1500,41.864907807724215,-87.66648483359934
11-4-765(2)(b) Full Description: Construction site cleanliness.,LIABPLEA,950,41.70167969698118,-87.62827980376798
11-4-765(2)(b) Full Description: Construction site cleanliness.,LIABPLEA,750,41.92327891047086,-87.68663870201722
