NAME,STREET,VIOLATIONS,INSPECTIONS,FORMAL_ACTIONS
10 S RIVERSIDE PROPERTY OWNER LLC,10 S RIVERSIDE PLAZA,0,0,0
10/120 S RIVERSIDE PLAZA LLC,120 S RIVERSIDE PLAZA,0,0,0
10/120 SOUTH RIVERSIDE PROPERTY LLC,10 S RIVERSIDE,0,0,0
"100 BELLEVUE PLACE CONDO ASSOCIATION, THE",100 E BELLEVUE,0,0,0
1103 E 57TH ST,1103 E 57TH ST,0,0,0
1112 W CARROLL AVE,1112 W CARROLL AVE,0,0,0
111TH ST SUPER SAVE - SUPER SAVE MART,11100 S STATE ST,0,0,0
114 S STATE LLC,114 S STATE ST,0,0,0
120 S RIVERSIDE PROPERTY OWNER LLC,120 SOUTH RIVERSIDE PLAZA,7,2,0
120TH YARD AND SHOP - ADVANCE EARTHWORK,11900 S COTTAGE GROVE AVE,0,0,0
122 SOUTH MICHIGAN LLC,122 SOUTH MICHIGAN AVENUE,0,0,0
125 S WACKER ST PROPERTY OWNER LLC,125 S WACKER DR,0,0,0
12950 S. STONY ISLAND AVENUE,12950 S. STONY ISLAND AVENUE,0,0,0
1300 N DEARBORN LLC,1300 N DEARBORN PKWY,0,0,0
135 S LASALLE PROPERTY LLC,135 SOUTH LASALLE STREET,0,0,0
1350 N LAKE SHORE DR ASSOC LP,1350 N LAKE SHORE DR,0,0,0
1547 CSR CHICAGO WELLS LLC,725 S WELLS ST,0,0,0
1550 N STATE PARKWAY CONDO ASS,1550 N STATE PARKWAY,0,0,0
1600 N MILWAUKEE VENTURES LLC,1600 N MILWAUKEE AVE,0,0,0
175 W JACKSON LLC,175 W JACKSON BLVD,0,0,0
1901 PARCEL,1901 S CALUMET AVE,0,0,0
199 E LAKE SHORE BUILDING CORP,199 E LAKE SHORE DR,0,0,0
2 STARS AUTO REBUILDERS,2441 W 47TH ST,0,0,0
200 N MICHIGAN AVE OWNERS LLC,200 N MICHIGAN AVE,0,0,0
2001 EXPRESS MINI MART,1541 W GARFIELD BLVD,0,0,0
222 SOUTH RIVERSIDE PLAZA,222 SOUTH RIVERSIDE PLAZA,4,1,0
2233-47 W OAKDALE AVE,2233-2247 W OAKDALE AVE,0,0,0
2430 CONDOMINIUM ASSOCIATION,2430 N LAKEVIEW AVE,0,0,0
2617 AUTO REPAIR,2617 S WABASH,0,0,0
2800 N LAKE SHORE DR CONDO ASSOC,2800 N LAKE SHORE DR,0,0,0
29 N WACKER DRIVE LLC,29 N WACKER DR SUITE 705,0,0,0
3 TEAM GROUP INC,5107 W MADISON ST,0,0,0
300 NORTH LASALLE LLC,300 NORTH LASALLE,2,0,0
300 NORTH LASALLE LLC,300 N LASALLE ST-B,0,0,0
3105 W 27TH LLC,3105 W 27TH ST,0,0,0
332 PROPERTIES LLC,332 S MICHIGAN AVE,0,0,0
333 BUILDING CORPORATION,333 NORTH MICHIGAN AVENUE,0,0,0
350 NORTH ORLEANS,350 NORTH ORLEANS,0,0,0
3753-3759 S HALSTED LLC,3753 S HALSTED ST,0,0,0
39TH LSD - CITY OF CHICAGO FLEET MGMT,1000 E OAKWOOD DR,0,0,0
3STARS AUTOBODY & MUFFLER INC,3011 W LAWRENCE AVE,0,0,0
"400 CONDOMINIUM ASSOCIATION, THE",400 E. RANDOLPH DRIVE,0,1,0
400 N. LAKESHORE DRIVE,462 EAST NORTH WATER STREET,0,0,0
4002 S MORGAN STREET,4002 S MORGAN STREET,0,0,0
4220 S KILDARE LLC,4220 S KILDARE AVE,0,0,0
4626 W DIVERSEY,4626 W DIVERSEY,0,0,0
4766: I-490 ROADWAY CONSTRUCTION IRVING PARK TO DEVON,I-490 AND IRVING PARK ROAD,0,0,0
47TH ST. INTERMODAL FACILITY - SOG EXPANSION PHASE 3,5700 SOUTH NORMAL BOULEVARD,0,0,0
500 N MICHIGAN AVE,500 N MICHIGAN AVE-B,0,0,0
5200 WESLEY LLC,5200 WESLEY TERRACE,0,0,0
5201 JACKSON INC,5201 W JACKSON BLVD,0,0,0
5219 GRAND BP,6359 W GRAND AVE,0,0,0
540 WEST MADISON OWNER LLC,540 W MADISON ST,0,0,0
548 PASSIVE HP LP,3831-3853 W CHICAGO AVE,0,0,0
555 WOOD INC,4501 S WESTERN BLVD,0,0,0
55TH & CALIFORNIA FOOD MART,2800 W 55TH ST,0,0,0
55TH FUEL MART INC,5501 S ASHLAND AVE,0,0,0
601W SOUTH CANAL LLC,801 S CANAL ST,0,1,0
63RD & DREXEL BLDG LLC,850 E 63RD ST,0,0,0
7 STAR SHELL LLC,2003 N PULASKI & ARMITAGE,0,0,0
7048 CSC CHICAGO TRANSIT,4334 S DAMEN AVE,0,0,0
71 S WACKER DR HOLDINGS LLC,71 S WACKER DR,0,0,0
7100 K INC - BP AMOCO,7100 S KEDZIE & 71ST,0,0,0
724 W 64TH ST BUILDING,724 W 64TH ST,0,0,0
73RD STREET STATION,3625 W 73RD ST,0,0,0
7439 S COTTAGE GROVE BLDG LLC,7439 S COTTAGE GROVE,0,0,0
76 ENTERPRISES INC,7602 S VINCENNES AVE,0,0,0
76 SVC - CENTRAL AUTO SVC,6301 N CENTRAL,0,0,0
79TH STREET WATER RECLAMATION PLANT,7900 S SHORE DR,0,0,0
83RD ST GAS STATION,8255 S HALSTED,0,0,0
860 LAKE SHORE DR TRUST,880 N LAKE SHORE DR,0,0,0
87TH STREET GAS INC,1400 87TH ST,0,0,0
89TH & CHICAGO PROPERTY INC AKA MOBIL FOOD MART,8903 S CHICAGO AVE,0,0,0
900 CONDO ASSOCIATION,900 LAKE SHORE DR,0,0,0
919 W FULTON LLC,911-925 W FULTON ST,0,0,0
9W HALO OPCO LP DBA ANGELICA,920 S. CAMPBELL AVENUE,0,0,0
A & M 205 RANDOLPH LLC,205 W RANDOLPH ST,0,0,0
A & Z AMOCO,3803 W ROOSEVELT RD,0,0,0
A ACTION AUTOBODY,6645 W IRVING PARK,0,0,0
A AUTO REPAIR INC,5358 W GALE ST,0,0,0
A AVANA ELECTRIC MOTORS,2445 N. LARAMIE AVE.,0,0,0
A CARR AUTO RPR INC,4246 N WESTERN AVE,0,0,0
A CARRS CARSTAR,4246 N WESTERN,0,0,0
A COMPETE AUTO CENTER INC DBA CAR FIX AUTO CENTE,3555 W FOSTER AVE,0,0,0
A FINKL & SONS CO,1355 E 93RD ST,1,2,2
A K AUTO MECHANIC & BODY SHOP INC,2515 S HALSTED,0,0,0
A OK AUTOMOTIVE INC,5809 S ARCHER,0,0,0
