LocationName,Measure,Data_Value,Geolocation
17031160900,Current Asthma,8.9,POINT (-87.7226082 41.9500821)
17031063302,COPD,2,POINT (-87.639854 41.9347647)
17031140602,COPD,5.1,POINT (-87.7210166 41.964652)
17031070200,Current Asthma,9.3,POINT (-87.646293 41.9290777)
17031170200,COPD,5,POINT (-87.7815188 41.9493528)
17031050800,Current Asthma,9.2,POINT (-87.6809279 41.9450095)
17031150800,COPD,5,POINT (-87.7521182 41.9497086)
17031160100,COPD,5.4,POINT (-87.7427956 41.9646282)
17031110100,COPD,5.3,POINT (-87.7696729 41.9874756)
17031080100,COPD,3.9,POINT (-87.62679 41.9075487)
17031120400,Current Asthma,9,POINT (-87.7521624 41.9772354)
17031062200,Current Asthma,8.8,POINT (-87.656644 41.9425847)
17031170700,Current Asthma,9.8,POINT (-87.822164 41.9414866)
17031070400,COPD,3.5,POINT (-87.6561563 41.9289672)
17031030703,COPD,5.4,POINT (-87.6578708 41.9788749)
17031120200,Current Asthma,8.8,POINT (-87.7576108 41.9945319)
17031160800,Current Asthma,9.5,POINT (-87.7128146 41.9502131)
17031030200,COPD,3.8,POINT (-87.66523 41.9944414)
17031031700,Current Asthma,9.4,POINT (-87.6631954 41.9654466)
17031030702,COPD,5,POINT (-87.6545286 41.9808148)
17031160200,COPD,4.2,POINT (-87.7383981 41.9587931)
17031081000,COPD,4,POINT (-87.6321089 41.9002655)
17031030701,Current Asthma,9.9,POINT (-87.6579659 41.9827453)
17031100500,Current Asthma,9.2,POINT (-87.8197314 41.9780453)
17031071000,COPD,2,POINT (-87.6559114 41.9217011)
17031170500,COPD,5.6,POINT (-87.8288957 41.9500779)
17031010400,COPD,4.4,POINT (-87.6588157 42.0064109)
17031060200,COPD,2.3,POINT (-87.6715175 41.9579036)
17031070102,COPD,2.2,POINT (-87.642202 41.9305828)
17031063200,COPD,2.4,POINT (-87.6346726 41.9389231)
17031050300,COPD,3.1,POINT (-87.6904442 41.9578851)
17031030800,COPD,3.5,POINT (-87.664188 41.9799123)
17031051100,Current Asthma,9.2,POINT (-87.6808266 41.9413652)
17031010701,Current Asthma,9.8,POINT (-87.6786204 42.0091482)
17031081300,COPD,4.1,POINT (-87.6207531 41.8983354)
17031160400,COPD,5,POINT (-87.7228238 41.9573657)
17031031501,COPD,9,POINT (-87.6524343 41.9672886)
17031081100,Current Asthma,9.5,POINT (-87.6291049 41.9002211)
17031010702,COPD,5.6,POINT (-87.6727257 42.0090199)
17031160300,Current Asthma,9.2,POINT (-87.7308958 41.9572681)
17031071300,Current Asthma,9.4,POINT (-87.6414578 41.9217794)
17031040800,Current Asthma,9.2,POINT (-87.6918213 41.963974)
17031060500,Current Asthma,9.4,POINT (-87.6605008 41.95272)
17031140800,COPD,3.6,POINT (-87.7028469 41.9645144)
17031010202,COPD,6.3,POINT (-87.6733256 42.0160476)
17031010701,COPD,4.8,POINT (-87.6786204 42.0091482)
17031140702,Current Asthma,9,POINT (-87.7135753 41.9635482)
17031061901,Current Asthma,9.3,POINT (-87.6434679 41.9432305)
17031160900,COPD,3.7,POINT (-87.7226082 41.9500821)
17031040900,COPD,2.7,POINT (-87.6838544 41.9631847)
17031130200,Current Asthma,8.8,POINT (-87.7375733 41.9818378)
17031060300,COPD,2.5,POINT (-87.6713327 41.9506049)
17031050700,COPD,2.5,POINT (-87.6760595 41.945071)
17031140602,Current Asthma,9.2,POINT (-87.7210166 41.964652)
17031160502,Current Asthma,9.1,POINT (-87.7130876 41.9555841)
17031063100,Current Asthma,9.2,POINT (-87.6467799 41.9382319)
17031031300,Current Asthma,9.4,POINT (-87.6465298 41.9737646)
17031063000,COPD,1.6,POINT (-87.6515617 41.9363102)
17031020100,COPD,6.3,POINT (-87.6871169 42.015721)
17031030104,Current Asthma,10.6,POINT (-87.6559864 41.9972773)
17031050100,Current Asthma,9.4,POINT (-87.676373 41.9578451)
17031031502,COPD,6.5,POINT (-87.6523656 41.9636326)
17031081403,COPD,2.5,POINT (-87.620956 41.8929908)
17031062800,COPD,1.8,POINT (-87.6612648 41.9361586)
17031020801,Current Asthma,8.8,POINT (-87.6944149 41.9868081)
17031050600,Current Asthma,9.1,POINT (-87.6761824 41.9505477)
17031120200,COPD,4.5,POINT (-87.7576108 41.9945319)
17031170900,Current Asthma,10,POINT (-87.8116057 41.9361958)
17031061200,COPD,2.1,POINT (-87.6616427 41.9490599)
17031030706,COPD,5.1,POINT (-87.6509155 41.9804151)
17031070400,Current Asthma,9.4,POINT (-87.6561563 41.9289672)
17031150502,Current Asthma,9.3,POINT (-87.7818414 41.9567784)
17031010600,COPD,4.1,POINT (-87.667683 42.0062774)
