"Label (Grouping)","Chicago city, Illinois!!Total!!Estimate","Chicago city, Illinois!!Total!!Margin of Error","Chicago city, Illinois!!Below poverty level!!Estimate","Chicago city, Illinois!!Below poverty level!!Margin of Error","Chicago city, Illinois!!Percent below poverty level!!Estimate","Chicago city, Illinois!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","2,668,070","±3,386","442,127","±22,173","16.6%","±0.8"
"    AGE","","","","","",""
"        Under 18 years","496,964","±11,756","112,638","±13,512","22.7%","±2.6"
"            Under 5 years","131,517","±6,224","28,029","±4,861","21.3%","±3.6"
"            5 to 17 years","365,447","±11,078","84,609","±10,831","23.2%","±2.8"
"            Related children of householder under 18 years","494,233","±12,022","110,364","±13,664","22.3%","±2.6"
"        18 to 64 years","1,793,359","±12,390","257,312","±11,990","14.3%","±0.7"
"            18 to 34 years","784,382","±10,408","118,932","±8,424","15.2%","±1.1"
"            35 to 64 years","1,008,977","±10,125","138,380","±8,499","13.7%","±0.8"
"        60 years and over","532,029","±12,564","103,194","±6,129","19.4%","±1.1"
"        65 years and over","377,747","±10,358","72,177","±4,727","19.1%","±1.2"
"    SEX","","","","","",""
"        Male","1,300,417","±7,848","196,051","±12,705","15.1%","±1.0"
"        Female","1,367,653","±7,766","246,076","±12,710","18.0%","±0.9"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","973,832","±18,488","87,532","±8,398","9.0%","±0.8"
"        Black or African American alone","696,740","±18,187","184,782","±15,622","26.5%","±2.1"
"        American Indian and Alaska Native alone","38,170","±7,463","5,746","±3,842","15.1%","±9.6"
"        Asian alone","208,391","±9,920","29,235","±5,580","14.0%","±2.5"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"        Some other race alone","439,790","±23,801","91,686","±11,652","20.8%","±2.3"
"        Two or more races","310,143","±18,390","42,496","±7,819","13.7%","±2.3"
"        Hispanic or Latino origin (of any race)","809,473","±19,665","148,662","±14,339","18.4%","±1.7"
