FacName,FacStreet,FacCity,FacState,RegistryID,FacSNCFlg,FacQtrsWithNC,FacInspectionCount,FacFormalActionCount,FacMapFlg,"DFR URL"
"10 S RIVERSIDE PROPERTY OWNER LLC","10 S RIVERSIDE PLAZA",CHICAGO,IL,110070507539,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070507539
"10/120 S RIVERSIDE PLAZA LLC","120 S RIVERSIDE PLAZA",CHICAGO,IL,110005899144,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005899144
"10/120 SOUTH RIVERSIDE PROPERTY LLC","10 S RIVERSIDE",CHICAGO,IL,110018468479,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110018468479
"100 BELLEVUE PLACE CONDO ASSOCIATION, THE","100 E BELLEVUE",CHICAGO,IL,110005936452,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005936452
"10131 RIDGELAND AVENUE","10131 RIDGELAND AVENUE","CHICAGO RIDGE",IL,110072073891,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110072073891
"1103 E 57TH ST","1103 E 57TH ST",CHICAGO,IL,110055968127,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110055968127
"1112 W CARROLL AVE","1112 W CARROLL AVE",CHICAGO,IL,110071355132,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110071355132
"111TH ST SUPER SAVE - SUPER SAVE MART","11100 S STATE ST",CHICAGO,IL,110070684253,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070684253
"114 S STATE LLC","114 S STATE ST",CHICAGO,IL,110070125495,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070125495
"120 S RIVERSIDE PROPERTY OWNER LLC","120 SOUTH RIVERSIDE PLAZA",CHICAGO,IL,110009985999,N,7,2,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110009985999
"120TH YARD AND SHOP - ADVANCE EARTHWORK","11900 S COTTAGE GROVE AVE",CHICAGO,IL,110072165790,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110072165790
"122 SOUTH MICHIGAN LLC","122 SOUTH MICHIGAN AVENUE",CHICAGO,IL,110007268651,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110007268651
"125 S WACKER ST PROPERTY OWNER LLC","125 S WACKER DR",CHICAGO,IL,110009364909,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110009364909
"12950 S. STONY ISLAND AVENUE","12950 S. STONY ISLAND AVENUE",CHICAGO,IL,110071669037,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110071669037
"1300 N DEARBORN LLC","1300 N DEARBORN PKWY",CHICAGO,IL,110056308589,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110056308589
"135 S LASALLE PROPERTY LLC","135 SOUTH LASALLE STREET",CHICAGO,IL,110009376889,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110009376889
"1350 N LAKE SHORE DR ASSOC LP","1350 N LAKE SHORE DR",CHICAGO,IL,110018462331,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110018462331
"1547 CSR CHICAGO WELLS LLC","725 S WELLS ST",CHICAGO,IL,110040531877,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110040531877
"1550 N STATE PARKWAY CONDO ASS","1550 N STATE PARKWAY",CHICAGO,IL,110009386146,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110009386146
"1600 N MILWAUKEE VENTURES LLC","1600 N MILWAUKEE AVE",CHICAGO,IL,110067713790,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110067713790
"175 W JACKSON LLC","175 W JACKSON BLVD",CHICAGO,IL,110022439440,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110022439440
"1901 PARCEL","1901 S CALUMET AVE",CHICAGO,IL,110032664999,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110032664999
"199 E LAKE SHORE BUILDING CORP","199 E LAKE SHORE DR",CHICAGO,IL,110031464635,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110031464635
